"HLA"	"probe"	"probe.protein"	"probe.NA"	"probe.positive"	"probe.negative"	"beta"	"se"	"F"	"P"	"FDR"
"HLA_DQB1_0201"	"agilent_145281"	"MH0003_GL0010195 (1/1)"	0	78	1359	0.232236321682046	0.254652553278975	0.911973269820816	0.361782788927445	0.84956933184308
"HLA_DQB1_0201"	"twist_50031"	"EBNA3A nuclear protein [Human gammaherpesvirus 4] & EBNA-3A [Human herpesvirus 4 type 2] & EBNA-3A [Human gammaherpesvirus 4] & Epstein-Barr nuclear antigen 3 & BLRF3 [Human gammaherpesvirus 4] & nuclear antigen EBNA-3"	0	70	1367	0.0357864514000058	0.293719048602224	0.121839055281942	0.903026482708025	0.988433742680537
"HLA_DQB1_0201"	"twist_3668"	"allergen_name False allergome_name Ory s 11 (2/2) (1/1) allergenonline_name False SDAP_name False iedb_name False"	0	106	1331	0.208091741559803	0.223425852180403	0.931368234826205	0.351663116477195	0.845062427533118
"HLA_DQB1_0201"	"agilent_228681"	"VFG000974(gb|NP_269970) (scpA) C5a peptidase precursor [C5a peptidase (VF0245)] [Streptococcus pyogenes M1 GAS]"	0	106	1331	0.665445882505027	0.20194397236615	3.295200518778	0.000983514731180028	0.0916551196130346
"HLA_DQB1_0201"	"agilent_101646"	"WP_074709731.1"	0	80	1357	-0.05038106700772	0.272976920079579	-0.184561636174344	0.853572878822252	0.98104100554145
"HLA_DQB1_0201"	"twist_51085"	"HCMVUL99 & Tegument protein UL11 homolog"	0	106	1331	0.0774509966143232	0.233372707044727	0.331876840248844	0.739982258997328	0.96046737609129
"HLA_DQB1_0201"	"agilent_230904"	"VFG001797(gb|NP_735749) (scpB) streptococcal C5a peptidase [C5a peptidase (VF0278)] [Streptococcus agalactiae NEM316]"	0	96	1341	0.621184846093314	0.209411998391913	2.96632882004579	0.00301378079581978	0.168670175356894
"HLA_DQB1_0201"	"twist_60159"	"AFN38704.1 hypothetical protein phi_MSA6_ORF041 [Staphylococcus phage MSA6]"	0	145	1292	0.187173849002502	0.198593123282017	0.942499145535372	0.345937148389134	0.842415759918319
"HLA_DQB1_0201"	"agilent_230748"	"VFG001333(gb|NP_689029) (cfa/cfb) cAMP factor [CAMP factor (VF0280)] [Streptococcus agalactiae 2603V/R]"	0	79	1358	0.418257067159328	0.243236092990293	1.71955182315817	0.0855139398663855	0.621014255345371
"HLA_DQB1_0201"	"agilent_225335"	"VFG000558(gb|NP_461818) (invE) type III secretion system gatekeeper invE [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]"	0	91	1346	-0.511144071380415	0.30907881248836	-1.65376612930938	0.0981750403923643	0.643933500749091
"HLA_DQB1_0201"	"agilent_51613"	"MH0061_GL0015145"	0	68	1369	-0.141700387227114	0.29429646998457	-0.48148857250834	0.630169299584501	0.937000963969839
"HLA_DQB1_0201"	"twist_27988"	"EBNA-3B nuclear protein [Human gammaherpesvirus 4] & Epstein-Barr nuclear antigen 4"	0	310	1127	-0.263480646174843	0.155802625296234	-1.69111814177634	0.0908142409543465	0.631235294383875
"HLA_DQB1_0201"	"twist_34247"	"HCMVUL57"	0	66	1371	0.207130457628826	0.293682609374005	0.705286765431335	0.480631794876673	0.895242059445181
"HLA_DQB1_0201"	"twist_51602"	"phosphoprotein 150 & Large structural phosphoprotein"	0	62	1375	-0.541469447380842	0.368412928445501	-1.46973519541115	0.141633486591279	0.701753870638552
"HLA_DQB1_0201"	"agilent_2967"	"phosphoprotein 150 & Large structural phosphoprotein"	0	92	1345	-0.357293404885136	0.275021460412886	-1.29914736235033	0.193893361781185	0.751130787341271
"HLA_DQB1_0201"	"twist_29236"	"Acetyl-CoA carboxylase 1"	0	77	1360	0.219689993330304	0.245221003834058	0.895885710829928	0.370313806543707	0.853471997590806
"HLA_DQB1_0201"	"agilent_201606"	"WP_011161370.1"	0	189	1248	-0.816011201639725	0.230942436697993	-3.53339651779476	0.00041025666072597	0.0544291226389593
"HLA_DQB1_0201"	"twist_51931"	"HCMVUL132"	0	48	1389	0.651254271776494	0.333924655481419	1.95030304317476	0.0511400101760109	0.5381245663328
"HLA_DQB1_0201"	"twist_23199"	"allergen_name False allergome_name Ans a 1 (1/2), Ans in 1 (1/2) (1/1) allergenonline_name False SDAP_name False iedb_name False"	0	100	1337	-0.28976012643064	0.265854033008543	-1.08992187611963	0.275747559218424	0.806484267018763
"HLA_DQB1_0201"	"twist_56934"	"EBNA3A nuclear protein [Human gammaherpesvirus 4] & EBNA-3A [Human herpesvirus 4 type 2] & EBNA-3A [Human gammaherpesvirus 4] & Epstein-Barr nuclear antigen 3 & BLRF3 [Human gammaherpesvirus 4] & nuclear antigen EBNA-3"	0	211	1226	-0.328815887545687	0.195659215985866	-1.68055404847089	0.0928495677016069	0.634696842003465
"HLA_DQB1_0201"	"twist_34086"	"polyprotein (5/9) & unnamed protein product (6/8) & structural polyprotein (3/3) & 110 kd polyprotein precursor & Structural polyprotein (1/2) & E1 protein"	0	367	1070	0.0893240569341223	0.138901110320592	0.643076622843096	0.52017438249417	0.907777908553979
"HLA_DQB1_0201"	"agilent_228378"	"VFG000261(gb|NP_273742) (iga) IgA-specific serine endopeptidase [IgA1 protease (VF0080)] [Neisseria meningitidis MC58]"	0	74	1363	-0.268977675425206	0.302348818047046	-0.889627011484967	0.373666197290328	0.854968097056676
"HLA_DQB1_0201"	"agilent_152193"	"V1.UC23-0_GL0009955 (1/10)"	0	87	1350	0.184432730189542	0.245697270099042	0.75065030276973	0.452863139265247	0.885874408971625
"HLA_DQB1_0201"	"twist_1760"	"allergen_name False allergome_name Lup a 1 (3/3) (1/1) allergenonline_name Unassigned (1/1) (1/1) SDAP_name False iedb_name False"	0	122	1315	-0.19709594116429	0.250998830549747	-0.785246452075506	0.432309084857201	0.878393575409766
"HLA_DQB1_0201"	"agilent_222330"	"VFG001333(gb|NP_689029) (cfa/cfb) cAMP factor [CAMP factor (VF0280)] [Streptococcus agalactiae 2603V/R]"	0	79	1358	0.265817418165847	0.246402227476533	1.07879470444788	0.280679256076124	0.809372216297317
"HLA_DQB1_0201"	"agilent_225962"	"VFG001157(gb|AAC44560) (hsf) Hsf [Hia/Hsf (VF0039)] [Haemophilus influenzae C54]"	0	130	1307	-0.0380541744961741	0.220722922629347	-0.172406989010731	0.863117578016184	0.98254344350247
"HLA_DQB1_0201"	"agilent_40430"	"MH0003_GL0096731"	0	66	1371	0.479588355804036	0.259365017903858	1.84908651012378	0.0644453219525866	0.575469649518629
"HLA_DQB1_0201"	"agilent_82563"	"NOM026_GL0048494"	0	113	1324	0.173494416671141	0.22548299958445	0.769434578176089	0.441635367985535	0.881587582125373
